File,Line,Type,Hardcoded Text,Suggested i18n Key,Status,Translation (EN),Notes
src/components/dashboard/AIFeedbackWidget.tsx,163,placeholder,Tell us more (optional),[Generate key],pending,Tell us more (optional),
src/components/dashboard/ATSAnalysisReport.tsx,228,alt,CVDebug Logo,[Generate key],pending,CVDebug Logo,
src/components/dashboard/ATSRawTextView.tsx,20,toast,Raw text copied to clipboard,[Generate key],pending,Raw text copied to clipboard,
src/components/dashboard/ATSRawTextView.tsx,34,toast,Raw text downloaded,[Generate key],pending,Raw text downloaded,
src/components/dashboard/ATSSimulation.tsx,109,placeholder,Search by keyword...,[Generate key],pending,Search by keyword...,
src/components/dashboard/ApplyMetricModal.tsx,113,toast,Please provide a quantified version,[Generate key],pending,Please provide a quantified version,
src/components/dashboard/ApplyMetricModal.tsx,124,toast,Bullet point updated with metrics!,[Generate key],pending,Bullet point updated with metrics!,
src/components/dashboard/BulletRewriter.tsx,245,toast,Please enter a bullet point to rewrite,[Generate key],pending,Please enter a bullet point to rewrite,
src/components/dashboard/BulletRewriter.tsx,259,toast,Bullet point optimized!,[Generate key],pending,Bullet point optimized!,
src/components/dashboard/BulletRewriter.tsx,264,toast,Failed to rewrite bullet point,[Generate key],pending,Failed to rewrite bullet point,
src/components/dashboard/BulletRewriter.tsx,274,toast,Copied to clipboard!,[Generate key],pending,Copied to clipboard!,
src/components/dashboard/BulletRewriter.tsx,277,toast,Failed to copy,[Generate key],pending,Failed to copy,
src/components/dashboard/BulletRewriter.tsx,302,placeholder,Example: Worked on improving the website performance...,[Generate key],pending,Example: Worked on improving the website performance...,
src/components/dashboard/BulletRewriter.tsx,316,placeholder,"e.g., Software Engineer",[Generate key],pending,"e.g., Software Engineer",
src/components/dashboard/CinematicScanning.tsx,26,title,File Validation,[Generate key],pending,File Validation,
src/components/dashboard/CinematicScanning.tsx,26,title,PDF structure is valid.,[Generate key],pending,PDF structure is valid.,
src/components/dashboard/CinematicScanning.tsx,27,title,Layout Integrity,[Generate key],pending,Layout Integrity,
src/components/dashboard/CinematicScanning.tsx,27,title,Checking margins & text-flow.,[Generate key],pending,Checking margins & text-flow.,
src/components/dashboard/CinematicScanning.tsx,28,title,Keyword Match,[Generate key],pending,Keyword Match,
src/components/dashboard/CinematicScanning.tsx,28,title,PENDING,[Generate key],pending,PENDING,
src/components/dashboard/CinematicScanning.tsx,29,title,Experience Timeline,[Generate key],pending,Experience Timeline,
src/components/dashboard/CinematicScanning.tsx,29,title,PENDING,[Generate key],pending,PENDING,
src/components/dashboard/CinematicScanning.tsx,30,title,Scoring & Report,[Generate key],pending,Scoring & Report,
src/components/dashboard/CinematicScanning.tsx,30,title,PENDING,[Generate key],pending,PENDING,
src/components/dashboard/CinematicScanning.tsx,50,title,File Validation,[Generate key],pending,File Validation,
src/components/dashboard/CinematicScanning.tsx,50,title,PDF structure is valid.,[Generate key],pending,PDF structure is valid.,
src/components/dashboard/CinematicScanning.tsx,51,title,Layout Integrity,[Generate key],pending,Layout Integrity,
src/components/dashboard/CinematicScanning.tsx,51,title,Checking margins & text-flow.,[Generate key],pending,Checking margins & text-flow.,
src/components/dashboard/CinematicScanning.tsx,52,title,Keyword Match,[Generate key],pending,Keyword Match,
src/components/dashboard/CinematicScanning.tsx,52,title,PENDING,[Generate key],pending,PENDING,
src/components/dashboard/CinematicScanning.tsx,53,title,Experience Timeline,[Generate key],pending,Experience Timeline,
src/components/dashboard/CinematicScanning.tsx,53,title,PENDING,[Generate key],pending,PENDING,
src/components/dashboard/CinematicScanning.tsx,54,title,Scoring & Report,[Generate key],pending,Scoring & Report,
src/components/dashboard/CinematicScanning.tsx,54,title,PENDING,[Generate key],pending,PENDING,
src/components/dashboard/CreateApplicationDialog.tsx,35,toast,Interview Sprint plan required,[Generate key],pending,Interview Sprint plan required,
src/components/dashboard/CreateApplicationDialog.tsx,51,toast,Application added successfully,[Generate key],pending,Application added successfully,
src/components/dashboard/CreateApplicationDialog.tsx,57,toast,Interview Sprint plan required,[Generate key],pending,Interview Sprint plan required,
src/components/dashboard/CreateApplicationDialog.tsx,62,toast,Failed to add application,[Generate key],pending,Failed to add application,
src/components/dashboard/CreateApplicationDialog.tsx,132,placeholder,"e.g., Acme Corp",[Generate key],pending,"e.g., Acme Corp",
src/components/dashboard/CreateApplicationDialog.tsx,145,placeholder,"e.g., Senior Engineer",[Generate key],pending,"e.g., Senior Engineer",
src/components/dashboard/CreateApplicationDialog.tsx,161,placeholder,https://...,[Generate key],pending,https://...,
src/components/dashboard/CreateApplicationDialog.tsx,175,placeholder,Paste the job description here for AI-powered keyword matching...,[Generate key],pending,Paste the job description here for AI-powered keyword matching...,
src/components/dashboard/CreateProjectDialog.tsx,33,toast,Project created successfully!,[Generate key],pending,Project created successfully!,
src/components/dashboard/CreateProjectDialog.tsx,37,toast,Failed to create project,[Generate key],pending,Failed to create project,
src/components/dashboard/CreateProjectDialog.tsx,88,placeholder,e.g. Senior SWE Hunt at Google,[Generate key],pending,e.g. Senior SWE Hunt at Google,
src/components/dashboard/CreateProjectDialog.tsx,105,placeholder,"e.g. Senior Software Engineer, Product Manager...",[Generate key],pending,"e.g. Senior Software Engineer, Product Manager...",
src/components/dashboard/CreateProjectDialog.tsx,178,placeholder,https://linkedin.com/jobs/view/...,[Generate key],pending,https://linkedin.com/jobs/view/...,
src/components/dashboard/CreateProjectDialog.tsx,189,placeholder,Paste the full job description here...,[Generate key],pending,Paste the full job description here...,
src/components/dashboard/FluffDetector.tsx,779,toast,Metric copied to clipboard!,[Generate key],pending,Metric copied to clipboard!,
src/components/dashboard/FluffDetector.tsx,784,toast,Failed to copy to clipboard,[Generate key],pending,Failed to copy to clipboard,
src/components/dashboard/FluffDetector.tsx,789,toast,Please select a metric first,[Generate key],pending,Please select a metric first,
src/components/dashboard/ImageTrapAlert.tsx,44,toast,Cannot sanitize: Resume ID missing,[Generate key],pending,Cannot sanitize: Resume ID missing,
src/components/dashboard/ImageTrapAlert.tsx,51,toast,PDF Sanitized successfully!,[Generate key],pending,PDF Sanitized successfully!,
src/components/dashboard/ImageTrapAlert.tsx,56,toast,Failed to sanitize PDF,[Generate key],pending,Failed to sanitize PDF,
src/components/dashboard/InterviewBattlePlan.tsx,61,title,Metric Impact,[Generate key],pending,Metric Impact,
src/components/dashboard/InterviewBattlePlan.tsx,62,title,Tech Stack,[Generate key],pending,Tech Stack,
src/components/dashboard/InterviewBattlePlan.tsx,63,title,Ownership,[Generate key],pending,Ownership,
src/components/dashboard/InterviewBattlePlan.tsx,109,title,End-to-End ML Deployment,[Generate key],pending,End-to-End ML Deployment,
src/components/dashboard/InterviewBattlePlan.tsx,116,title,Cross-Functional Leadership,[Generate key],pending,Cross-Functional Leadership,
src/components/dashboard/InterviewBattlePlan.tsx,156,toast,Not enough resume text to generate questions,[Generate key],pending,Not enough resume text to generate questions,
src/components/dashboard/InterviewBattlePlan.tsx,163,toast,Regenerating questions with ML algorithms...,[Generate key],pending,Regenerating questions with ML algorithms...,
src/components/dashboard/InterviewBattlePlan.tsx,192,toast,Questions regenerated with ML! Fresh questions based on your resume.,[Generate key],pending,Questions regenerated with ML! Fresh questions based on your resume.,
src/components/dashboard/InterviewBattlePlan.tsx,200,toast,Failed to generate questions. Using fallback questions.,[Generate key],pending,Failed to generate questions. Using fallback questions.,
src/components/dashboard/InterviewBattlePlan.tsx,209,toast,Enhancing your answer with AI...,[Generate key],pending,Enhancing your answer with AI...,
src/components/dashboard/InterviewBattlePlan.tsx,215,toast,Answer enhanced with AI suggestions!,[Generate key],pending,Answer enhanced with AI suggestions!,
src/components/dashboard/InterviewBattlePlan.tsx,388,placeholder,Describe the actions you took...,[Generate key],pending,Describe the actions you took...,
src/components/dashboard/InterviewBattlePlan.tsx,485,toast,Downloading strategy document...,[Generate key],pending,Downloading strategy document...,
src/components/dashboard/InterviewBattlePlanModal.tsx,31,toast,Please paste the job description first,[Generate key],pending,Please paste the job description first,
src/components/dashboard/InterviewBattlePlanModal.tsx,45,toast,Battle plan generated!,[Generate key],pending,Battle plan generated!,
src/components/dashboard/InterviewBattlePlanModal.tsx,49,toast,Failed to generate battle plan,[Generate key],pending,Failed to generate battle plan,
src/components/dashboard/InterviewBattlePlanModal.tsx,100,placeholder,Paste the full job description here...,[Generate key],pending,Paste the full job description here...,
src/components/dashboard/InterviewPrepMode.tsx,49,toast,Please provide a valid job description to generate interview prep.,[Generate key],pending,Please provide a valid job description to generate interview prep.,
src/components/dashboard/InterviewPrepMode.tsx,54,toast,Resume text is too short. Please upload a valid resume first.,[Generate key],pending,Resume text is too short. Please upload a valid resume first.,
src/components/dashboard/InterviewPrepMode.tsx,68,toast,Battle Plan Generated!,[Generate key],pending,Battle Plan Generated!,
src/components/dashboard/InterviewPrepMode.tsx,74,toast,API key not configured. Please contact support at cvdebug@outlook.com,[Generate key],pending,API key not configured. Please contact support at cvdebug@outlook.com,
src/components/dashboard/InterviewPrepMode.tsx,76,toast,Failed to generate prep. This feature requires an active subscription with AI cr,[Generate key],pending,Failed to generate prep. This feature requires an active subscription with AI credits.,
src/components/dashboard/KeywordExamplesModal.tsx,72,toast,Copied to clipboard!,[Generate key],pending,Copied to clipboard!,
src/components/dashboard/KeywordSniperView.tsx,76,toast,Suggestion applied! Your resume has been updated.,[Generate key],pending,Suggestion applied! Your resume has been updated.,
src/components/dashboard/KeywordSniperView.tsx,354,toast,Resume rewritten successfully!,[Generate key],pending,Resume rewritten successfully!,
src/components/dashboard/LiveResumeOptimizer.tsx,67,placeholder,Paste your resume content here and watch the score update in real-time...,[Generate key],pending,Paste your resume content here and watch the score update in real-time...,
src/components/dashboard/MLInsights.tsx,38,label,Overall,[Generate key],pending,Overall,
src/components/dashboard/MLInsights.tsx,43,label,Keyword Match,[Generate key],pending,Keyword Match,
src/components/dashboard/MLInsights.tsx,48,label,Action Verbs,[Generate key],pending,Action Verbs,
src/components/dashboard/MLInsights.tsx,53,label,Impact,[Generate key],pending,Impact,
src/components/dashboard/MLInsights.tsx,58,label,Structure,[Generate key],pending,Structure,
src/components/dashboard/MachineParsingVision.tsx,166,alt,Resume preview,[Generate key],pending,Resume preview,
src/components/dashboard/MobileKeywordChecklist.tsx,32,toast,Failed to generate suggestions,[Generate key],pending,Failed to generate suggestions,
src/components/dashboard/MobileKeywordChecklist.tsx,41,toast,Copied to clipboard!,[Generate key],pending,Copied to clipboard!,
src/components/dashboard/MobileTabBar.tsx,73,label,Upload Resume,[Generate key],pending,Upload Resume,
src/components/dashboard/ProjectBoard.tsx,29,title,Draft,[Generate key],pending,Draft,
src/components/dashboard/ProjectBoard.tsx,30,title,Applied,[Generate key],pending,Applied,
src/components/dashboard/ProjectBoard.tsx,31,title,Interviewing,[Generate key],pending,Interviewing,
src/components/dashboard/ProjectBoard.tsx,32,title,Offer,[Generate key],pending,Offer,
src/components/dashboard/ProjectBoard.tsx,33,title,Rejected,[Generate key],pending,Rejected,
src/components/dashboard/ProjectBoard.tsx,83,toast,Failed to update status,[Generate key],pending,Failed to update status,
src/components/dashboard/ProjectBoard.tsx,104,toast,Failed to analyze application,[Generate key],pending,Failed to analyze application,
src/components/dashboard/ProjectsView.tsx,85,placeholder,"Search projects, tags...",[Generate key],pending,"Search projects, tags...",
src/components/dashboard/ResumeDetailDialog.tsx,171,toast,📋 Link copied to clipboard! Share it with anyone.,[Generate key],pending,📋 Link copied to clipboard! Share it with anyone.,
src/components/dashboard/ResumeDetailDialog.tsx,173,toast,Failed to copy link. Please try again.,[Generate key],pending,Failed to copy link. Please try again.,
src/components/dashboard/ResumeDetailDialog.tsx,179,toast,No text available to optimize.,[Generate key],pending,No text available to optimize.,
src/components/dashboard/ResumeDetailDialog.tsx,192,toast,Optimization complete! Click,[Generate key],pending,Optimization complete! Click,
src/components/dashboard/ResumeDetailDialog.tsx,195,toast,Failed to optimize resume. Please try again.,[Generate key],pending,Failed to optimize resume. Please try again.,
src/components/dashboard/ResumeDetailDialog.tsx,203,toast,No rewrite available. Click,[Generate key],pending,No rewrite available. Click,
src/components/dashboard/ResumeDetailDialog.tsx,213,toast,✅ Rewrite applied to your CV!,[Generate key],pending,✅ Rewrite applied to your CV!,
src/components/dashboard/ResumeDetailDialog.tsx,218,toast,Failed to apply rewrite,[Generate key],pending,Failed to apply rewrite,
src/components/dashboard/ResumeDetailDialog.tsx,226,toast,No text available to analyze.,[Generate key],pending,No text available to analyze.,
src/components/dashboard/ResumeDetailDialog.tsx,231,toast,Please enter a job description.,[Generate key],pending,Please enter a job description.,
src/components/dashboard/ResumeDetailDialog.tsx,244,toast,✅ Analysis complete! Your resume has been tailored to the job description.,[Generate key],pending,✅ Analysis complete! Your resume has been tailored to the job description.,
src/components/dashboard/ResumeDetailDialog.tsx,248,toast,Failed to re-analyze resume. Please try again.,[Generate key],pending,Failed to re-analyze resume. Please try again.,
src/components/dashboard/ResumeDetailDialog.tsx,414,title,Contact Information Parsing,[Generate key],pending,Contact Information Parsing,
src/components/dashboard/ResumeDetailDialog.tsx,423,title,Section Headers Recognition,[Generate key],pending,Section Headers Recognition,
src/components/dashboard/ResumeDetailDialog.tsx,432,title,Bullet Point Formatting,[Generate key],pending,Bullet Point Formatting,
src/components/dashboard/ResumeDetailDialog.tsx,441,title,Date Format Consistency,[Generate key],pending,Date Format Consistency,
src/components/dashboard/ResumeDetailDialog.tsx,450,title,Font & Styling Compatibility,[Generate key],pending,Font & Styling Compatibility,
src/components/dashboard/ResumeDetailDialog.tsx,459,title,Formatting Issue,[Generate key],pending,Formatting Issue,
src/components/dashboard/ResumeDetailDialog.tsx,744,placeholder,Paste the full job description here...,[Generate key],pending,Paste the full job description here...,
src/components/dashboard/ResumeDetailDialog.tsx,1398,toast,Opening Keyword Sniper Tool...,[Generate key],pending,Opening Keyword Sniper Tool...,
src/components/dashboard/ResumeDetailDialog.tsx,1407,toast,Opening Writing Forge...,[Generate key],pending,Opening Writing Forge...,
src/components/dashboard/ResumeDetailDialog.tsx,1414,toast,Generating PDF report...,[Generate key],pending,Generating PDF report...,
src/components/dashboard/ResumeGrid.tsx,153,placeholder,"Search resumes by name, skill, or ID...",[Generate key],pending,"Search resumes by name, skill, or ID...",
src/components/dashboard/RewriteAllModal.tsx,49,toast,Failed to rewrite resume,[Generate key],pending,Failed to rewrite resume,
src/components/dashboard/RewriteAllModal.tsx,53,toast,An error occurred while rewriting,[Generate key],pending,An error occurred while rewriting,
src/components/dashboard/RewriteAllModal.tsx,62,toast,Resume updated with AI improvements!,[Generate key],pending,Resume updated with AI improvements!,
src/components/dashboard/RewriteAllModal.tsx,167,title,Quantify,[Generate key],pending,Quantify,
src/components/dashboard/RewriteAllModal.tsx,173,title,Optimize,[Generate key],pending,Optimize,
src/components/dashboard/RewriteAllModal.tsx,179,title,Polish,[Generate key],pending,Polish,
src/components/dashboard/SanitizedVersionDialog.tsx,39,toast,Sanitized version generated!,[Generate key],pending,Sanitized version generated!,
src/components/dashboard/SanitizedVersionDialog.tsx,50,toast,Text copied to clipboard!,[Generate key],pending,Text copied to clipboard!,
src/components/dashboard/SanitizedVersionDialog.tsx,63,toast,Downloaded sanitized text!,[Generate key],pending,Downloaded sanitized text!,
src/components/dashboard/SettingsView.tsx,66,toast,API key copied to clipboard,[Generate key],pending,API key copied to clipboard,
src/components/dashboard/SettingsView.tsx,75,toast,API key generated successfully,[Generate key],pending,API key generated successfully,
src/components/dashboard/SettingsView.tsx,79,toast,Failed to generate API key,[Generate key],pending,Failed to generate API key,
src/components/dashboard/SettingsView.tsx,104,toast,Account deletion requested - our team will process this within 48 hours,[Generate key],pending,Account deletion requested - our team will process this within 48 hours,
src/components/dashboard/SettingsView.tsx,108,toast,Failed to request account deletion,[Generate key],pending,Failed to request account deletion,
src/components/dashboard/SettingsView.tsx,125,toast,Failed to update analytics preference,[Generate key],pending,Failed to update analytics preference,
src/components/dashboard/SettingsView.tsx,316,placeholder,••••••••••••,[Generate key],pending,••••••••••••,
src/components/dashboard/SettingsView.tsx,327,placeholder,••••••••••••,[Generate key],pending,••••••••••••,
src/components/dashboard/SettingsView.tsx,337,placeholder,••••••••••••,[Generate key],pending,••••••••••••,
src/components/dashboard/SnippetForge.tsx,25,toast,Copied to clipboard!,[Generate key],pending,Copied to clipboard!,
src/components/dashboard/SnippetForge.tsx,31,toast,Ready to insert into CV,[Generate key],pending,Ready to insert into CV,
src/components/dashboard/WeakBulletSuggestions.tsx,702,toast,Bullet updated!,[Generate key],pending,Bullet updated!,
src/components/dashboard/WeakBulletSuggestions.tsx,713,toast,Failed to update bullet point,[Generate key],pending,Failed to update bullet point,
src/components/dashboard/analysis/ActionableFixes.tsx,52,toast,Copied to clipboard!,[Generate key],pending,Copied to clipboard!,
src/components/dashboard/mission-control/KanbanBoard.tsx,170,title,Applied,[Generate key],pending,Applied,
src/components/dashboard/mission-control/KanbanBoard.tsx,171,title,Interviewing,[Generate key],pending,Interviewing,
src/components/dashboard/mission-control/KanbanBoard.tsx,172,title,Accepted,[Generate key],pending,Accepted,
src/components/dashboard/mission-control/KanbanBoard.tsx,204,title,Applied,[Generate key],pending,Applied,
src/components/dashboard/mission-control/KanbanBoard.tsx,211,title,Interviewing,[Generate key],pending,Interviewing,
src/components/dashboard/mission-control/KanbanBoard.tsx,218,title,Accepted,[Generate key],pending,Accepted,
src/components/dashboard/mission-control/MetricsGrid.tsx,68,title,Visibility Score,[Generate key],pending,Visibility Score,
src/components/dashboard/mission-control/MetricsGrid.tsx,70,title,/100,[Generate key],pending,/100,
src/components/dashboard/mission-control/MetricsGrid.tsx,81,title,Active Applications,[Generate key],pending,Active Applications,
src/components/dashboard/mission-control/MetricsGrid.tsx,93,title,Missing Signals,[Generate key],pending,Missing Signals,
src/components/dashboard/mission/BulletPointSniper.tsx,95,toast,Power Statement copied!,[Generate key],pending,Power Statement copied!,
src/components/dashboard/mission/KeywordSniperPanel.tsx,52,toast,Copied to clipboard,[Generate key],pending,Copied to clipboard,
src/components/dashboard/mission/KeywordSniperPanel.tsx,73,toast,Failed to generate phrases. Please try again.,[Generate key],pending,Failed to generate phrases. Please try again.,
src/components/dashboard/mission/MasterCVHealth.tsx,55,toast,CV Sanitized,[Generate key],pending,CV Sanitized,
src/components/dashboard/mission/MasterCVHealth.tsx,57,toast,Failed to sanitize CV,[Generate key],pending,Failed to sanitize CV,
src/components/dashboard/tools/CoverLetterGenerator.tsx,50,toast,Interview Sprint plan required,[Generate key],pending,Interview Sprint plan required,
src/components/dashboard/tools/CoverLetterGenerator.tsx,58,toast,Please enter a job description,[Generate key],pending,Please enter a job description,
src/components/dashboard/tools/CoverLetterGenerator.tsx,74,toast,Cover letter generated successfully!,[Generate key],pending,Cover letter generated successfully!,
src/components/dashboard/tools/CoverLetterGenerator.tsx,78,toast,Interview Sprint plan required,[Generate key],pending,Interview Sprint plan required,
src/components/dashboard/tools/CoverLetterGenerator.tsx,83,toast,Failed to generate cover letter,[Generate key],pending,Failed to generate cover letter,
src/components/dashboard/tools/CoverLetterGenerator.tsx,93,toast,Copied to clipboard,[Generate key],pending,Copied to clipboard,
src/components/dashboard/tools/CoverLetterGenerator.tsx,171,placeholder,Select a resume...,[Generate key],pending,Select a resume...,
src/components/dashboard/tools/CoverLetterGenerator.tsx,189,placeholder,e.g. Acme Corp,[Generate key],pending,e.g. Acme Corp,
src/components/dashboard/tools/CoverLetterGenerator.tsx,200,placeholder,e.g. Senior Developer,[Generate key],pending,e.g. Senior Developer,
src/components/dashboard/tools/CoverLetterGenerator.tsx,213,placeholder,Paste the job description here...,[Generate key],pending,Paste the job description here...,
src/components/dashboard/tools/LinkedInOptimizer.tsx,41,toast,Interview Sprint plan required,[Generate key],pending,Interview Sprint plan required,
src/components/dashboard/tools/LinkedInOptimizer.tsx,52,toast,Please paste your LinkedIn profile text,[Generate key],pending,Please paste your LinkedIn profile text,
src/components/dashboard/tools/LinkedInOptimizer.tsx,66,toast,✅ LinkedIn profile analyzed successfully!,[Generate key],pending,✅ LinkedIn profile analyzed successfully!,
src/components/dashboard/tools/LinkedInOptimizer.tsx,72,toast,Interview Sprint plan required,[Generate key],pending,Interview Sprint plan required,
src/components/dashboard/tools/LinkedInOptimizer.tsx,77,toast,No credits remaining. Please upgrade to continue.,[Generate key],pending,No credits remaining. Please upgrade to continue.,
src/components/dashboard/tools/LinkedInOptimizer.tsx,79,toast,Failed to scan profile. Please try again.,[Generate key],pending,Failed to scan profile. Please try again.,
src/components/dashboard/tools/LinkedInOptimizer.tsx,88,toast,No bio optimization available. Please scan your profile first.,[Generate key],pending,No bio optimization available. Please scan your profile first.,
src/components/dashboard/tools/LinkedInOptimizer.tsx,95,toast,✅ Optimized bio copied to clipboard! Paste it into your LinkedIn About section.,[Generate key],pending,✅ Optimized bio copied to clipboard! Paste it into your LinkedIn About section.,
src/components/dashboard/tools/LinkedInOptimizer.tsx,97,toast,Failed to copy bio. Please try again.,[Generate key],pending,Failed to copy bio. Please try again.,
src/components/dashboard/tools/LinkedInOptimizer.tsx,206,placeholder,https://linkedin.com/in/yourprofile,[Generate key],pending,https://linkedin.com/in/yourprofile,
src/components/dashboard/tools/LinkedInOptimizer.tsx,218,placeholder,"Paste your LinkedIn profile text here (headline, about section, experience, etc.",[Generate key],pending,"Paste your LinkedIn profile text here (headline, about section, experience, etc.)",
src/components/dashboard/tools/LinkedInOptimizer.tsx,233,placeholder,Paste a job description to get tailored optimization suggestions,[Generate key],pending,Paste a job description to get tailored optimization suggestions,
src/components/dashboard/tools/RecruiterDMGenerator.tsx,49,toast,Please select a job application,[Generate key],pending,Please select a job application,
src/components/dashboard/tools/RecruiterDMGenerator.tsx,53,toast,No resume found. Please upload a resume first.,[Generate key],pending,No resume found. Please upload a resume first.,
src/components/dashboard/tools/RecruiterDMGenerator.tsx,81,title,Recruiter DM Generated,[Generate key],pending,Recruiter DM Generated,
src/components/dashboard/tools/RecruiterDMGenerator.tsx,85,toast,DMs Generated!,[Generate key],pending,DMs Generated!,
src/components/dashboard/tools/RecruiterDMGenerator.tsx,98,toast,Copied to clipboard,[Generate key],pending,Copied to clipboard,
src/components/dashboard/tools/RecruiterDMGenerator.tsx,119,placeholder,Select a job...,[Generate key],pending,Select a job...,
src/components/dashboard/tools/RecruiterDMGenerator.tsx,134,placeholder,e.g. Sarah Smith,[Generate key],pending,e.g. Sarah Smith,
src/components/dashboard/tools/WritingForge.tsx,60,toast,No resume text to edit,[Generate key],pending,No resume text to edit,
src/components/dashboard/tools/WritingForge.tsx,72,toast,Resume cannot be empty,[Generate key],pending,Resume cannot be empty,
src/components/dashboard/tools/WritingForge.tsx,77,toast,Unable to save changes,[Generate key],pending,Unable to save changes,
src/components/dashboard/tools/WritingForge.tsx,89,toast,Changes saved!,[Generate key],pending,Changes saved!,
src/components/dashboard/tools/WritingForge.tsx,94,toast,Failed to save changes,[Generate key],pending,Failed to save changes,
src/components/dashboard/tools/WritingForge.tsx,108,toast,Interview Sprint plan required,[Generate key],pending,Interview Sprint plan required,
src/components/dashboard/tools/WritingForge.tsx,116,toast,No resume text to regenerate,[Generate key],pending,No resume text to regenerate,
src/components/dashboard/tools/WritingForge.tsx,120,toast,Regenerating with AI...,[Generate key],pending,Regenerating with AI...,
src/components/dashboard/tools/WritingForge.tsx,127,toast,Resume regenerated!,[Generate key],pending,Resume regenerated!,
src/components/dashboard/tools/WritingForge.tsx,136,toast,Interview Sprint plan required,[Generate key],pending,Interview Sprint plan required,
src/components/dashboard/tools/WritingForge.tsx,142,toast,Preparing PDF download...,[Generate key],pending,Preparing PDF download...,
src/components/dashboard/tools/WritingForge.tsx,147,toast,Interview Sprint plan required,[Generate key],pending,Interview Sprint plan required,
src/components/dashboard/tools/WritingForge.tsx,164,toast,Interview Sprint plan required,[Generate key],pending,Interview Sprint plan required,
src/components/dashboard/tools/WritingForge.tsx,583,placeholder,Edit your resume text here...,[Generate key],pending,Edit your resume text here...,
src/components/dashboard/tools/linkedin/DMGenerator.tsx,35,toast,Profile text is missing. Please analyze your profile first.,[Generate key],pending,Profile text is missing. Please analyze your profile first.,
src/components/dashboard/tools/linkedin/DMGenerator.tsx,50,toast,DMs generated successfully!,[Generate key],pending,DMs generated successfully!,
src/components/dashboard/tools/linkedin/DMGenerator.tsx,54,toast,Failed to generate DMs. Please try again.,[Generate key],pending,Failed to generate DMs. Please try again.,
src/components/dashboard/tools/linkedin/DMGenerator.tsx,64,toast,DM copied to clipboard!,[Generate key],pending,DM copied to clipboard!,
src/components/dashboard/tools/linkedin/DMGenerator.tsx,97,placeholder,e.g. Sarah Smith,[Generate key],pending,e.g. Sarah Smith,
src/components/dashboard/tools/linkedin/HeadlineOptimizer.tsx,16,toast,Headline copied to clipboard!,[Generate key],pending,Headline copied to clipboard!,
src/components/dashboard/tools/linkedin/ScoreGauge.tsx,8,label,Good,[Generate key],pending,Good,
src/components/landing/DifferentiationSection.tsx,8,title,Transparent Pricing,[Generate key],pending,Transparent Pricing,
src/components/landing/DifferentiationSection.tsx,14,title,Honest Limitations,[Generate key],pending,Honest Limitations,
src/components/landing/DifferentiationSection.tsx,20,title,Privacy-First,[Generate key],pending,Privacy-First,
src/components/landing/DifferentiationSection.tsx,26,title,No BS Claims,[Generate key],pending,No BS Claims,
src/components/landing/EnterpriseSection.tsx,12,title,Team Management,[Generate key],pending,Team Management,
src/components/landing/EnterpriseSection.tsx,17,title,SOC 2 Compliant,[Generate key],pending,SOC 2 Compliant,
src/components/landing/EnterpriseSection.tsx,22,title,API Access,[Generate key],pending,API Access,
